iter	Logloss
0	0.6121948032
1	0.5650657568
2	0.5164467458
3	0.4760748641
4	0.438523826
5	0.4058411465
6	0.3747462709
7	0.3402846487
8	0.3094792896
9	0.2795595063
10	0.2600629775
11	0.2456459451
12	0.2276060791
13	0.2072804294
14	0.1946456574
15	0.1827234636
16	0.1695589986
17	0.1602901093
18	0.1535156516
19	0.144573542
20	0.1387051507
21	0.1300045517
22	0.1236862965
23	0.1174071975
24	0.1127871431
25	0.1074732056
26	0.09974711519
27	0.09474144087
28	0.09064782485
29	0.08313863979
30	0.07985061942
31	0.07543430449
32	0.07145791089
33	0.06876141355
34	0.06591465625
35	0.06394188187
36	0.0618798958
37	0.06033241463
38	0.05859302794
39	0.05598369405
40	0.05370604858
41	0.05232089228
42	0.05089522298
43	0.04911294719
44	0.04789594682
45	0.04673440029
46	0.04534996617
47	0.04402473368
48	0.04308040238
49	0.04217754216
50	0.04119996386
51	0.04028323364
52	0.03952048909
53	0.03868402019
54	0.03784584237
55	0.03703598955
56	0.03621481857
57	0.03533637401
58	0.03455181098
59	0.03392284768
60	0.03346800471
61	0.03291719387
62	0.0323339291
63	0.0317827205
64	0.03119736026
65	0.03063287432
66	0.03011213391
67	0.02961675971
68	0.02912512971
69	0.02883579061
70	0.02856637542
71	0.02828075913
72	0.02802169111
73	0.02775641845
74	0.02750690552
75	0.02726190642
76	0.02702129669
77	0.02678495652
78	0.02655277054
79	0.02632462761
80	0.02610042061
81	0.02588004631
82	0.02566340509
83	0.02545040089
84	0.02524094097
85	0.02503493581
86	0.02483229892
87	0.02463294677
88	0.02443679861
89	0.0242437764
90	0.02405380465
91	0.02386681033
92	0.02368272279
93	0.02350147362
94	0.02332299661
95	0.02314722761
96	0.02297410449
97	0.02280356703
98	0.02263555688
99	0.02246173368
